"importId";"description";"groovy_template","name";"library";"multi_arg";"multi_arg_type"
"";"Trim whitespace or other characters from the right return the result. The mask text can be any string of text.";"{target -> if (#{mask} == "\\u0020"){ return target.replaceAll("(^.*[^ ]+) *\$", '\$1'); }else{ return target.replaceAll( "(.*)"+#{mask}+"\$", "\$1"); } }(#{target})";"right_trim";"1";"false";;"";
"";"Trim whitespace or other characters from both sides and return the result. The mask text can be any string of text.";"{target -> if (#{mask} == "\\u0020"){ return target.replaceAll("^ *([^ ].*[^ ]) *\$", '\$1'); }else{ return target.replaceAll( "^"+#{mask}+"(.*)"+#{mask}+"\$", "\$1");}}(#{target})";"trim";"1";"false";""
"";"Divides 2 values together and returns the result.";"{target-> target/#{value}}(#{target})";"divide";"3";"";""
"";"Adds 2 values together and returns the result.";"{target-> target+#{value}}(#{target})";"add";"3";"";""
"";"Calculates the inverse hyperbolic cosine of the supplied value in radians.";"{target-> Math.acosh(target)}(#{target})";"acosh";"3";"";""
"";"Subtract days from the given date.";"{target -> Date.parse("MM/dd/yyyy", target).plus((-1)*#{days})}(#{target})";"minus_days";"2";"false;""
"";"Add days to the given date.";"{target -> Date.parse("MM/dd/yyyy", target).plus(#{days})}(#{target})";"plus_days";"2";"false";""
"";"Add months to the given date.";"{target -> Date.parse("MM/dd/yyyy", target).plus(30*#{months})}(#{target})";"plus_months";"2";"false";""
"";"Subtract months from the given date.";"{target -> Date.parse("MM/dd/yyyy", target).plus((-30)*#{months})}(#{target})";"subtract_months";"2";"false";""
"";"Add years to the given date.";"{target -> Date.parse("MM/dd/yyyy", target).plus((30*12)*#{years})}(#{target})";"plus_years";"2";"false";""
"";"Subtract years from the given date.";"{target -> Date.parse("MM/dd/yyyy", target).plus((-30*12)*#{years})}(#{target})";"subtract_years";"2";"false";""
"";"Get the month of the year";"{target -> Date.parse("MM/dd/yyyy", target).format("MMMM")}(#{target})";"get_month";"2";"false";""
"";"Get day of the month";"{target -> Date.parse("MM/dd/yyyy", target).format("EEEE")}(#{target})";"get_day";"2";"false";""
"";"Format the given date according to the given format pattern";"{target -> Date.parse("MM/dd/yyyy", target).format(#{format})}(#{target})";"date_format";"2";"false";""
"";"";"{target -> target.addAll(#{value},#{_multiArg_}) ;return target}(#{target})";"push";"4";"true";"String"

